year,month,avg_diff
1980,4,0.557036222
1980,5,-1.163458684
1980,6,-0.090311108
1980,7,0.324203592
1980,8,-0.773036196
1980,9,0.82907435
1980,10,-1.572996616
1980,11,-2.266377943
1980,12,-1.166957738
1981,1,-0.087627142
1981,2,-1.638101478
1981,3,0.651434612
1981,4,0.266884707
1981,5,1.705749527
1981,6,-2.292735351
1981,7,-0.169667376
1981,8,-0.657493674
1981,9,0.633013744
1981,10,-0.58839251
1981,11,-0.844377943
1981,12,5.159288597
1982,1,4.104894852
1982,2,0.338927742
1982,3,1.642197076
1982,4,0.700369555
1982,5,0.114400553
1982,6,-2.100917169
1982,7,1.717825293
1982,8,1.421010725
1982,9,0.801347078
1982,10,0.743572299
1982,11,2.440743269
1982,12,-0.820623427
1983,1,-1.103169664
1983,2,-0.10603979
1983,3,0.763751328
1983,4,0.230308949
1983,5,0.397391756
1983,6,-1.040614139
1983,7,1.654579936
1983,8,1.837374361
1983,9,0.464629906
1983,10,0.469806415
1983,11,-0.755683499
1983,12,-0.748274942
1984,1,-0.624638384
1984,2,-1.797878124
1984,3,0.841781631
1984,4,1.257475616
1984,5,0.9242246
1984,6,-1.47243232
1984,7,-0.29463805
1984,8,0.885468203
1984,9,-1.283198377
1984,10,1.92788315
1984,11,1.602115349
1984,12,-0.204699673
1985,1,4.875276083
1985,2,7.585148522
1985,3,0.578002737
1985,4,-2.758357718
1985,5,-0.014778332
1985,6,-1.544311108
1985,7,-0.383544199
1985,8,-0.752508337
1985,9,-1.545774135
1985,10,1.174657343
1985,11,-2.189711277
1985,12,2.187759883
1986,1,1.4377425
1986,2,4.832109561
1986,3,0.389349321
1986,4,-1.908418324
1986,5,1.807655685
1986,6,-0.034705048
1986,7,0.144848753
1986,8,-1.885588657
1986,9,-2.397895347
1986,10,0.138000452
1986,11,2.837409466
1986,12,-0.457097818
1987,1,7.677562859
1987,2,-0.250580714
1987,3,3.847035786
1987,4,0.400824101
1987,5,-1.415364843
1987,6,-3.691811108
1987,7,-1.052959823
1987,8,-2.639311856
1987,9,-1.158804438
1987,10,0.698117754
1987,11,-0.019408247
1987,12,-0.367544248
1988,1,-2.650090486
1988,2,-3.378599127
1988,3,1.397050448
1988,4,-0.617175693
1988,5,1.737934278
1988,6,0.673522225
1988,7,0.386422798
1988,8,-0.498021533
1988,9,1.262907684
1988,10,-1.380973155
1988,11,-1.606192758
1988,12,0.237397101
1989,1,0.329044412
1989,2,-0.395601478
1989,3,3.326243997
1989,4,1.048142282
1989,5,1.835353633
1989,6,-0.453477775
1989,7,1.076784237
1989,8,-0.666892501
1989,9,0.957241017
1989,10,0.835155877
